team	result	side	ballot	adjudicators
This New Yet Unapproachable Vienna	1st	Opening Opposition	View Ballot	Ilija IvaniševićⒸ , Sinziana Stanciu , Ellen McKimmⓉ
Trucido	4th	Closing Government	View Ballot	Ilija IvaniševićⒸ , Sinziana Stanciu , Ellen McKimmⓉ
Mango	2nd	Closing Opposition	View Ballot	Ilija IvaniševićⒸ , Sinziana Stanciu , Ellen McKimmⓉ
Swing B	4th	Opening Government	View Ballot	Alex LovellⒸ , Sharon Maidanchik
Zagreb LR	1st	Opening Opposition	View Ballot	Alex LovellⒸ , Sharon Maidanchik
Mickey Mouse, Winnie the Pooh Case	2nd	Closing Opposition	View Ballot	Alex LovellⒸ , Sharon Maidanchik
Trash&amp;Treasures	2nd	Opening Government	View Ballot	Oisín BrowneⒸ , Amelia Potocka
CEU Debate Society	1st	Opening Opposition	View Ballot	Oisín BrowneⒸ , Amelia Potocka
Funkalinka drinking Unicum	3rd	Closing Government	View Ballot	Oisín BrowneⒸ , Amelia Potocka
Multitran	4th	Closing Opposition	View Ballot	Oisín BrowneⒸ , Amelia Potocka
Escaping from blue light	3rd	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Tom ComerⓉ
Little Bakugans	4th	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , Tom ComerⓉ
Munich A	1st	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , Tom ComerⓉ
Technion K&amp;W	3rd	Opening Government	View Ballot	Ilija IvaniševićⒸ , Sinziana Stanciu , Ellen McKimmⓉ
Technion I&amp;M	2nd	Opening Government	View Ballot	Assaph HananyⒸ , Ela Vranić , Stanislaus SteinⓉ
Two second speakers enter the ring	1st	Opening Opposition	View Ballot	Assaph HananyⒸ , Ela Vranić , Stanislaus SteinⓉ
Purple Panthers	3rd	Closing Government	View Ballot	Assaph HananyⒸ , Ela Vranić , Stanislaus SteinⓉ
BP Avengers	4th	Closing Opposition	View Ballot	Assaph HananyⒸ , Ela Vranić , Stanislaus SteinⓉ
EJG Prove Us Wrong	3rd	Closing Government	View Ballot	Alex LovellⒸ , Sharon Maidanchik
EJG Hápika	4th	Closing Opposition	View Ballot	Chris Mentis CravarisⒸ , Ivan Koruza , Dalma SzékelyⓉ
Freedom for Sealand	1st	Opening Government	View Ballot	Zarina Bell-GamⒸ , Michał Boruta , Julie Jie HuangⓉ
make words not war	3rd	Opening Opposition	View Ballot	Zarina Bell-GamⒸ , Michał Boruta , Julie Jie HuangⓉ
Breaking news	2nd	Closing Government	View Ballot	Zarina Bell-GamⒸ , Michał Boruta , Julie Jie HuangⓉ
Judas and the Thirty Silvers	1st	Opening Government	View Ballot	Uzair TajuddinⒸ , Aleksandra Auksztulewicz , Maarja OsiⓉ
Mater dea	2nd	Opening Opposition	View Ballot	Uzair TajuddinⒸ , Aleksandra Auksztulewicz , Maarja OsiⓉ
Principled debating	4th	Closing Government	View Ballot	Uzair TajuddinⒸ , Aleksandra Auksztulewicz , Maarja OsiⓉ
Ljubljana 3 The Movie #1: Spring of	3rd	Closing Opposition	View Ballot	Uzair TajuddinⒸ , Aleksandra Auksztulewicz , Maarja OsiⓉ
Harvard A	1st	Opening Government	View Ballot	Daan SpacklerⒸ , Kristofers Kārlis Krūmiņš , Dylan BradyⓉ
Strijp 1A	2nd	Opening Opposition	View Ballot	Daan SpacklerⒸ , Kristofers Kārlis Krūmiņš , Dylan BradyⓉ
Knuckles the Echidna Fan Club	4th	Closing Government	View Ballot	Daan SpacklerⒸ , Kristofers Kārlis Krūmiņš , Dylan BradyⓉ
Swing A	3rd	Closing Opposition	View Ballot	Daan SpacklerⒸ , Kristofers Kārlis Krūmiņš , Dylan BradyⓉ
Burazinios	1st	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Lara Dragojević , Martin SellⓉ
Oxford B	2nd	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Lara Dragojević , Martin SellⓉ
Oxford C	3rd	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Lara Dragojević , Martin SellⓉ
Chopin Liszt	4th	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Lara Dragojević , Martin SellⓉ
Every Time You Reject a POI Jack&#x27;s 	1st	Opening Government	View Ballot	Olja BošnjakⒸ , Stefan Josipović , Benjamin SpethⓉ
Swing C	3rd	Opening Opposition	View Ballot	Olja BošnjakⒸ , Stefan Josipović , Benjamin SpethⓉ
USAFA SL &amp; CR	2nd	Closing Government	View Ballot	Olja BošnjakⒸ , Stefan Josipović , Benjamin SpethⓉ
Silver Blue	4th	Closing Opposition	View Ballot	Olja BošnjakⒸ , Stefan Josipović , Benjamin SpethⓉ
Fe2O3•nH2O	1st	Opening Government	View Ballot	Anna ShrederⒸ , Jaime Smith Rodriguez , Jasmin GatchevaⓉ
One of us sleeps with Polish men an	2nd	Opening Opposition	View Ballot	Anna ShrederⒸ , Jaime Smith Rodriguez , Jasmin GatchevaⓉ
loud hostel sex	4th	Closing Government	View Ballot	Anna ShrederⒸ , Jaime Smith Rodriguez , Jasmin GatchevaⓉ
Oxford A	3rd	Closing Opposition	View Ballot	Anna ShrederⒸ , Jaime Smith Rodriguez , Jasmin GatchevaⓉ
Haifa T&amp;O	3rd	Opening Government	View Ballot	Hadar GoldbergⒸ , Petra Stojanovic , Daniel OchanaⓉ
Orange	2nd	Opening Opposition	View Ballot	Hadar GoldbergⒸ , Petra Stojanovic , Daniel OchanaⓉ
ACS A	4th	Closing Government	View Ballot	Hadar GoldbergⒸ , Petra Stojanovic , Daniel OchanaⓉ
Average Irish brother and sister	1st	Closing Opposition	View Ballot	Hadar GoldbergⒸ , Petra Stojanovic , Daniel OchanaⓉ
Papa Smurf is a leader of utopian c	2nd	Opening Government	View Ballot	Yishai BinnesⒸ , Anabel Dautovic , Milica KostinⓉ
Giraffe &amp; Owl	1st	Opening Opposition	View Ballot	Yishai BinnesⒸ , Anabel Dautovic , Milica KostinⓉ
MCCXXII	4th	Closing Government	View Ballot	Yishai BinnesⒸ , Anabel Dautovic , Milica KostinⓉ
