team	result	side	ballot	adjudicators
Multitran	4th	Opening Government	View Ballot	Craig McDonaldⒸ , Petra Stojanovic , Ellen McKimmⓉ
Chopin Liszt	2nd	Opening Opposition	View Ballot	Craig McDonaldⒸ , Petra Stojanovic , Ellen McKimmⓉ
HUJI Right Here, RN	1st	Closing Government	View Ballot	Craig McDonaldⒸ , Petra Stojanovic , Ellen McKimmⓉ
EJG Prove Us Wrong	3rd	Closing Opposition	View Ballot	Craig McDonaldⒸ , Petra Stojanovic , Ellen McKimmⓉ
UDS here to prep for narrowly missi	1st	Opening Government	View Ballot	Matthew HamerⒸ , Sinziana Stanciu
Swing A	2nd	Opening Opposition	View Ballot	Matthew HamerⒸ , Sinziana Stanciu
Trash&amp;Treasures	4th	Closing Government	View Ballot	Matthew HamerⒸ , Sinziana Stanciu
Breaking news	3rd	Closing Opposition	View Ballot	Matthew HamerⒸ , Sinziana Stanciu
Little Bakugans	2nd	Opening Government	View Ballot	Assaph HananyⒸ , Milica Kostin , Grzegorz RoguszczakⓉ
The Sun in our hearts	1st	Opening Opposition	View Ballot	Assaph HananyⒸ , Milica Kostin , Grzegorz RoguszczakⓉ
Leuven Debating Society	4th	Closing Government	View Ballot	Assaph HananyⒸ , Milica Kostin , Grzegorz RoguszczakⓉ
Judas and the Thirty Silvers	3rd	Closing Opposition	View Ballot	Assaph HananyⒸ , Milica Kostin , Grzegorz RoguszczakⓉ
Swing C	2nd	Opening Government	View Ballot	Oisín BrowneⒸ , Alexandra Szemere
BP Avengers	3rd	Opening Opposition	View Ballot	Oisín BrowneⒸ , Alexandra Szemere
Still an Open secret	4th	Closing Government	View Ballot	Oisín BrowneⒸ , Alexandra Szemere
No pandemics or car crashes will st	1st	Closing Opposition	View Ballot	Oisín BrowneⒸ , Alexandra Szemere
EJG Barika	4th	Opening Government	View Ballot	Alex LovellⒸ , Robert Raos
loud hostel sex	2nd	Opening Opposition	View Ballot	Alex LovellⒸ , Robert Raos
Excited to implement our new VR tra	1st	Closing Government	View Ballot	Alex LovellⒸ , Robert Raos
Oedipus and his madre	3rd	Closing Opposition	View Ballot	Alex LovellⒸ , Robert Raos
Knuckles the Echidna Fan Club	2nd	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , David Nagy , Tom ComerⓉ
Grape	1st	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , David Nagy , Tom ComerⓉ
Mater dea	4th	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , David Nagy , Tom ComerⓉ
MCC A	3rd	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , David Nagy , Tom ComerⓉ
Average Irish brother and sister	1st	Opening Government	View Ballot	Marina KojićⒸ , Ivan Koruza , Julie Jie HuangⓉ
No answer	4th	Opening Opposition	View Ballot	Marina KojićⒸ , Ivan Koruza , Julie Jie HuangⓉ
Mickey Mouse, Winnie the Pooh Case	3rd	Closing Government	View Ballot	Marina KojićⒸ , Ivan Koruza , Julie Jie HuangⓉ
One of us sleeps with Polish men an	2nd	Closing Opposition	View Ballot	Marina KojićⒸ , Ivan Koruza , Julie Jie HuangⓉ
Mission Impactable	3rd	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , Aleksandra Auksztulewicz , Guyberli van ThuijlⓉ
