team	result	side	ballot	adjudicators
Ljubljana 3 The Movie #1: Spring of	3rd	Opening Government	View Ballot	Anna ShrederⒸ , Alex Lovell
Mater dea	1st	Opening Opposition	View Ballot	Anna ShrederⒸ , Alex Lovell
EJG Hápika	2nd	Closing Government	View Ballot	Anna ShrederⒸ , Alex Lovell
Swing B	4th	Closing Opposition	View Ballot	Anna ShrederⒸ , Alex Lovell
Two second speakers enter the ring	2nd	Opening Government	View Ballot	Ilija IvaniševićⒸ , Ellen McKimm , Guyberli van Thuijl
This New Yet Unapproachable Vienna	3rd	Opening Opposition	View Ballot	Ilija IvaniševićⒸ , Ellen McKimm , Guyberli van Thuijl
Fe2O3•nH2O	1st	Closing Government	View Ballot	Ilija IvaniševićⒸ , Ellen McKimm , Guyberli van Thuijl
Stealth R Us	4th	Closing Opposition	View Ballot	Ilija IvaniševićⒸ , Ellen McKimm , Guyberli van Thuijl
MCC A	4th	Opening Government	View Ballot	Yishai BinnesⒸ , Ela Vranić
Little Bakugans	1st	Opening Opposition	View Ballot	Yishai BinnesⒸ , Ela Vranić
The Twitterati	3rd	Closing Government	View Ballot	Yishai BinnesⒸ , Ela Vranić
Speed and Power	2nd	Closing Opposition	View Ballot	Yishai BinnesⒸ , Ela Vranić
Mango	1st	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Uzair Tajuddin
Haifa T&amp;O	4th	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Uzair Tajuddin
БАТО БРЕ (bro dude for non-balkan p	3rd	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Uzair Tajuddin
Average Irish brother and sister	2nd	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Uzair Tajuddin
Trash&amp;Treasures	2nd	Opening Government	View Ballot	Peter WuⒸ , Martin Sell
Breaking news	1st	Opening Opposition	View Ballot	Peter WuⒸ , Martin Sell
Take De Bait	4th	Closing Government	View Ballot	Peter WuⒸ , Martin Sell
USAFA SL &amp; CR	3rd	Closing Opposition	View Ballot	Peter WuⒸ , Martin Sell
Tititum	4th	Opening Government	View Ballot	Caoimhin HamillⒸ , Lucija Ivanuša
Pakao	1st	Opening Opposition	View Ballot	Caoimhin HamillⒸ , Lucija Ivanuša
LSE A	3rd	Closing Government	View Ballot	Caoimhin HamillⒸ , Lucija Ivanuša
Excited to implement our new VR tra	2nd	Closing Opposition	View Ballot	Caoimhin HamillⒸ , Lucija Ivanuša
BP Avengers	2nd	Opening Government	View Ballot	Oisín BrowneⒸ , Ivan Koruza
Munich B	3rd	Opening Opposition	View Ballot	Oisín BrowneⒸ , Ivan Koruza
Fake it till you make it	4th	Closing Government	View Ballot	Oisín BrowneⒸ , Ivan Koruza
Technion I&amp;M	1st	Closing Opposition	View Ballot	Oisín BrowneⒸ , Ivan Koruza
EJG Prove Us Wrong	3rd	Opening Government	View Ballot	Michał BorutaⒸ , Muhammad Nabeel Rahim
Munich O&#x27;Galexi	2nd	Opening Opposition	View Ballot	Michał BorutaⒸ , Muhammad Nabeel Rahim
Trucido	1st	Closing Government	View Ballot	Michał BorutaⒸ , Muhammad Nabeel Rahim
The real Mc&#x27;s of MCC	4th	Closing Opposition	View Ballot	Michał BorutaⒸ , Muhammad Nabeel Rahim
Mission Impactable	4th	Opening Government	View Ballot	Daan SpacklerⒸ , Alexandra Szemere , Nadav Barak
No answer	3rd	Opening Opposition	View Ballot	Daan SpacklerⒸ , Alexandra Szemere , Nadav Barak
One of us sleeps with Polish men an	2nd	Closing Government	View Ballot	Daan SpacklerⒸ , Alexandra Szemere , Nadav Barak
Schnitzels get stitches	1st	Closing Opposition	View Ballot	Daan SpacklerⒸ , Alexandra Szemere , Nadav Barak
Harvard B	1st	Opening Government	View Ballot	Assaph HananyⒸ , Sharon Maidanchik , Veronica Minesso
make words not war	4th	Opening Opposition	View Ballot	Assaph HananyⒸ , Sharon Maidanchik , Veronica Minesso
Oxford A	3rd	Closing Government	View Ballot	Assaph HananyⒸ , Sharon Maidanchik , Veronica Minesso
Zagreb LR	2nd	Closing Opposition	View Ballot	Assaph HananyⒸ , Sharon Maidanchik , Veronica Minesso
Mickey Mouse, Winnie the Pooh Case	3rd	Opening Government	View Ballot	Tin PuljićⒸ , Julie Jie Huang , Tom Comer
UDS here to prep for narrowly missi	1st	Opening Opposition	View Ballot	Tin PuljićⒸ , Julie Jie Huang , Tom Comer
Burazinios	4th	Closing Government	View Ballot	Tin PuljićⒸ , Julie Jie Huang , Tom Comer
Oxford B	2nd	Closing Opposition	View Ballot	Tin PuljićⒸ , Julie Jie Huang , Tom Comer
Giraffe &amp; Owl	2nd	Opening Government	View Ballot	Hudáky MártonⒸ , Milica Kostin
Principled debating	1st	Opening Opposition	View Ballot	Hudáky MártonⒸ , Milica Kostin
Multitran	4th	Closing Government	View Ballot	Hudáky MártonⒸ , Milica Kostin
Judas and the Thirty Silvers	3rd	Closing Opposition	View Ballot	Hudáky MártonⒸ , Milica Kostin
Freedom for Sealand	4th	Opening Government	View Ballot	Craig McDonaldⒸ , Amelia Potocka , Robert Raos
Technion K&amp;W	3rd	Opening Opposition	View Ballot	Craig McDonaldⒸ , Amelia Potocka , Robert Raos
Orange	1st	Closing Government	View Ballot	Craig McDonaldⒸ , Amelia Potocka , Robert Raos
Escaping from blue light	2nd	Closing Opposition	View Ballot	Craig McDonaldⒸ , Amelia Potocka , Robert Raos
Oedipus and his madre	3rd	Opening Government	View Ballot	Marta VasićⒸ , Chen Jo Shulman , Zach Godley-McAvoy
Swing A	4th	Opening Opposition	View Ballot	Marta VasićⒸ , Chen Jo Shulman , Zach Godley-McAvoy
HUJI Right Here, RN	1st	Closing Government	View Ballot	Marta VasićⒸ , Chen Jo Shulman , Zach Godley-McAvoy
loud hostel sex	2nd	Closing Opposition	View Ballot	Marta VasićⒸ , Chen Jo Shulman , Zach Godley-McAvoy
the goodest bois	3rd	Opening Government	View Ballot	Zarina Bell-GamⒸ , Marina Kojić , Zsombor Kiss
Knuckles the Echidna Fan Club	1st	Opening Opposition	View Ballot	Zarina Bell-GamⒸ , Marina Kojić , Zsombor Kiss
Swing C	4th	Closing Government	View Ballot	Zarina Bell-GamⒸ , Marina Kojić , Zsombor Kiss
Michal &amp; Dror Weizmann	2nd	Closing Opposition	View Ballot	Zarina Bell-GamⒸ , Marina Kojić , Zsombor Kiss
Silver Blue	2nd	Opening Government	View Ballot	Olja BošnjakⒸ , Aleksandra Auksztulewicz
Grape	1st	Opening Opposition	View Ballot	Olja BošnjakⒸ , Aleksandra Auksztulewicz
Oxford C	4th	Closing Government	View Ballot	Olja BošnjakⒸ , Aleksandra Auksztulewicz
POIs on the chat please	3rd	Closing Opposition	View Ballot	Olja BošnjakⒸ , Aleksandra Auksztulewicz
Every Time You Reject a POI Jack&#x27;s 	3rd	Opening Government	View Ballot	Hadar GoldbergⒸ , Matthew Hamer
floccinaucinihilipilification	1st	Opening Opposition	View Ballot	Hadar GoldbergⒸ , Matthew Hamer
No pandemics or car crashes will st	4th	Closing Government	View Ballot	Hadar GoldbergⒸ , Matthew Hamer
roko&#x27;s tabtastic	2nd	Closing Opposition	View Ballot	Hadar GoldbergⒸ , Matthew Hamer
The austrian-dutch coalition	1st	Opening Government	View Ballot	Lara DragojevićⒸ , Dylan Brady
Leuven Debating Society	3rd	Opening Opposition	View Ballot	Lara DragojevićⒸ , Dylan Brady
Chopin Liszt	2nd	Closing Government	View Ballot	Lara DragojevićⒸ , Dylan Brady
