team	result	side	ballot	adjudicators
Morehouse 2	3rd	Opening Government	View Ballot	Rhys NickersonⒸ , Luis Gontes , Jason ZhuⓉ
Vermont 12	4th	Opening Opposition	View Ballot	Rhys NickersonⒸ , Luis Gontes , Jason ZhuⓉ
Princeton 2	1st	Closing Government	View Ballot	Rhys NickersonⒸ , Luis Gontes , Jason ZhuⓉ
Davidson 2	2nd	Closing Opposition	View Ballot	Rhys NickersonⒸ , Luis Gontes , Jason ZhuⓉ
UW-Madison 1	2nd	Opening Government	View Ballot	Belle HoⒸ , Rachel Kussick , Sanaya MasurkarⓉ
Princeton 3	4th	Opening Opposition	View Ballot	Belle HoⒸ , Rachel Kussick , Sanaya MasurkarⓉ
Middlebury 1	3rd	Closing Government	View Ballot	Belle HoⒸ , Rachel Kussick , Sanaya MasurkarⓉ
Stanford 1	1st	Closing Opposition	View Ballot	Belle HoⒸ , Rachel Kussick , Sanaya MasurkarⓉ
Princeton 5	2nd	Opening Government	View Ballot	Rohan KapoorⒸ , Ari Hahn , Miles BrethertonⓉ
UCLA 3	1st	Opening Opposition	View Ballot	Rohan KapoorⒸ , Ari Hahn , Miles BrethertonⓉ
HWS 2	4th	Closing Government	View Ballot	Rohan KapoorⒸ , Ari Hahn , Miles BrethertonⓉ
Princeton 6	3rd	Closing Opposition	View Ballot	Rohan KapoorⒸ , Ari Hahn , Miles BrethertonⓉ
Vermont 8	3rd	Opening Government	View Ballot	Gwen StearnsⒸ , Basil Bob , Journey HoreisⓉ
Morehouse 1	1st	Opening Opposition	View Ballot	Gwen StearnsⒸ , Basil Bob , Journey HoreisⓉ
Vermont 9	2nd	Closing Government	View Ballot	Gwen StearnsⒸ , Basil Bob , Journey HoreisⓉ
Williams 3	4th	Closing Opposition	View Ballot	Gwen StearnsⒸ , Basil Bob , Journey HoreisⓉ
Swing 3	3rd	Opening Government	View Ballot	Lamia Nur RahmanⒸ , Jacob Molina
Colby 2	2nd	Opening Opposition	View Ballot	Lamia Nur RahmanⒸ , Jacob Molina
Vermont 2	4th	Closing Government	View Ballot	Lamia Nur RahmanⒸ , Jacob Molina
Bard 1	1st	Closing Opposition	View Ballot	Lamia Nur RahmanⒸ , Jacob Molina
Bates 2	3rd	Opening Government	View Ballot	Barron RenⒸ , Japneet SinghⓉ
Middlebury 2	2nd	Opening Opposition	View Ballot	Barron RenⒸ , Japneet SinghⓉ
Vermont 10	4th	Closing Government	View Ballot	Barron RenⒸ , Japneet SinghⓉ
HWS 3	1st	Closing Opposition	View Ballot	Barron RenⒸ , Japneet SinghⓉ
Columbia 1	1st	Opening Government	View Ballot	Ryan LaffertyⒸ , Duncan ProfetaⓉ , Merrick ModunⓉ
Princeton 4	4th	Opening Opposition	View Ballot	Ryan LaffertyⒸ , Duncan ProfetaⓉ , Merrick ModunⓉ
Stanford 2	2nd	Closing Government	View Ballot	Ryan LaffertyⒸ , Duncan ProfetaⓉ , Merrick ModunⓉ
Harvard 6	3rd	Closing Opposition	View Ballot	Ryan LaffertyⒸ , Duncan ProfetaⓉ , Merrick ModunⓉ
Vermont 7	3rd	Opening Government	View Ballot	Oyuka LyndonⒸ , Addison BakerⓉ
Colby 1	2nd	Opening Opposition	View Ballot	Oyuka LyndonⒸ , Addison BakerⓉ
HWS 5	1st	Closing Government	View Ballot	Oyuka LyndonⒸ , Addison BakerⓉ
Vermont 11	4th	Closing Opposition	View Ballot	Oyuka LyndonⒸ , Addison BakerⓉ
Stanford 3	4th	Opening Government	View Ballot	Helen WuⒸ , André Brown , Abdullah ShahzadⓉ
Harvard 1	2nd	Opening Opposition	View Ballot	Helen WuⒸ , André Brown , Abdullah ShahzadⓉ
Princeton 1	1st	Closing Government	View Ballot	Helen WuⒸ , André Brown , Abdullah ShahzadⓉ
Berkeley 3	3rd	Closing Opposition	View Ballot	Helen WuⒸ , André Brown , Abdullah ShahzadⓉ
Brown 2	4th	Opening Government	View Ballot	Alexandra Uy-TiocoⒸ , Brian Chiang , Gage GerenⓉ
UCLA 2	3rd	Opening Opposition	View Ballot	Alexandra Uy-TiocoⒸ , Brian Chiang , Gage GerenⓉ
Harvard 3	1st	Closing Government	View Ballot	Alexandra Uy-TiocoⒸ , Brian Chiang , Gage GerenⓉ
Drexel 1	2nd	Closing Opposition	View Ballot	Alexandra Uy-TiocoⒸ , Brian Chiang , Gage GerenⓉ
Cornell 1	4th	Opening Government	View Ballot	Tanay PatriⒸ , Michelle Mangione , Mikayla McDonaldⓉ
Harvard 5	1st	Opening Opposition	View Ballot	Tanay PatriⒸ , Michelle Mangione , Mikayla McDonaldⓉ
USC 1	2nd	Closing Government	View Ballot	Tanay PatriⒸ , Michelle Mangione , Mikayla McDonaldⓉ
UCLA 1	3rd	Closing Opposition	View Ballot	Tanay PatriⒸ , Michelle Mangione , Mikayla McDonaldⓉ
Claremont 1	2nd	Opening Government	View Ballot	Matt MaurielloⒸ , Marriana MaloneyⓉ
UPenn 1	1st	Opening Opposition	View Ballot	Matt MaurielloⒸ , Marriana MaloneyⓉ
Princeton 7	4th	Closing Government	View Ballot	Matt MaurielloⒸ , Marriana MaloneyⓉ
Swing 1	3rd	Closing Opposition	View Ballot	Matt MaurielloⒸ , Marriana MaloneyⓉ
HWS 1	4th	Opening Government	View Ballot	Ollie BradenⒸ , Bill ChenⓉ
Vermont 4	2nd	Opening Opposition	View Ballot	Ollie BradenⒸ , Bill ChenⓉ
Williams 2	3rd	Closing Government	View Ballot	Ollie BradenⒸ , Bill ChenⓉ
Columbia 3	1st	Closing Opposition	View Ballot	Ollie BradenⒸ , Bill ChenⓉ
Bard 2	4th	Opening Government	View Ballot	Jae ParkⒸ , Jonathan Dolsey
Vermont 1	3rd	Opening Opposition	View Ballot	Jae ParkⒸ , Jonathan Dolsey
Vermont 13	1st	Closing Government	View Ballot	Jae ParkⒸ , Jonathan Dolsey
Bard 3	2nd	Closing Opposition	View Ballot	Jae ParkⒸ , Jonathan Dolsey
Vermont 5	4th	Opening Government	View Ballot	Justin WuⒸ , Emma Listgarten , Aadarsh S AdivishnuⓉ
Brown 1	2nd	Opening Opposition	View Ballot	Justin WuⒸ , Emma Listgarten , Aadarsh S AdivishnuⓉ
Davidson 1	1st	Closing Government	View Ballot	Justin WuⒸ , Emma Listgarten , Aadarsh S AdivishnuⓉ
UT Jamaica 1	3rd	Closing Opposition	View Ballot	Justin WuⒸ , Emma Listgarten , Aadarsh S AdivishnuⓉ
Harvard 7	4th	Opening Government	View Ballot	Rahul KalavaguntaⒸ , Gavin A. Sicard
Williams 1	2nd	Opening Opposition	View Ballot	Rahul KalavaguntaⒸ , Gavin A. Sicard
Columbia 2	3rd	Closing Government	View Ballot	Rahul KalavaguntaⒸ , Gavin A. Sicard
Bates 1	1st	Closing Opposition	View Ballot	Rahul KalavaguntaⒸ , Gavin A. Sicard
Berkeley 1	4th	Opening Government	View Ballot	Pranav AnandⒸ
Harvard 8	3rd	Opening Opposition	View Ballot	Pranav AnandⒸ
Amherst 1	1st	Closing Government	View Ballot	Pranav AnandⒸ
Rochester 1	2nd	Closing Opposition	View Ballot	Pranav AnandⒸ
HWS 6	3rd	Opening Government	View Ballot	Caitlin HodgeⒸ , Shrey VoraⓉ
UWI Mona 1	1st	Opening Opposition	View Ballot	Caitlin HodgeⒸ , Shrey VoraⓉ
HWS 4	2nd	Closing Government	View Ballot	Caitlin HodgeⒸ , Shrey VoraⓉ
Vermont 3	4th	Closing Opposition	View Ballot	Caitlin HodgeⒸ , Shrey VoraⓉ
Cornell 2	1st	Opening Government	View Ballot	Germaine BarrettⒸ , Julian Henry , Roger BentⓉ
Harvard 2	2nd	Opening Opposition	View Ballot	Germaine BarrettⒸ , Julian Henry , Roger BentⓉ
Harvard 4	4th	Closing Government	View Ballot	Germaine BarrettⒸ , Julian Henry , Roger BentⓉ
Boston 1	3rd	Closing Opposition	View Ballot	Germaine BarrettⒸ , Julian Henry , Roger BentⓉ
Berkeley 2	2nd	Opening Government	View Ballot	Dennis SuⒸ , Devan Tatlow , Izayah ThomasⓉ
Swing 2	1st	Opening Opposition	View Ballot	Dennis SuⒸ , Devan Tatlow , Izayah ThomasⓉ
USC 2	3rd	Closing Government	View Ballot	Dennis SuⒸ , Devan Tatlow , Izayah ThomasⓉ
Rochester 2	4th	Closing Opposition	View Ballot	Dennis SuⒸ , Devan Tatlow , Izayah ThomasⓉ
