team	result	side	ballot	adjudicators
MMBB	4th	Opening Government	View Ballot	Alexandra McCreadieⒸ , Kevin Lee , Nir Kligsberg
Warsaw Grzala	1st	Opening Opposition	View Ballot	Alexandra McCreadieⒸ , Kevin Lee , Nir Kligsberg
HH Take a shot for every “so true”	3rd	Closing Government	View Ballot	Alexandra McCreadieⒸ , Kevin Lee , Nir Kligsberg
Cambridge AM	2nd	Closing Opposition	View Ballot	Alexandra McCreadieⒸ , Kevin Lee , Nir Kligsberg
NSUT Wonka&#x27;s Loompas	3rd	Opening Government	View Ballot	Ayafa TonyeⒸ , Guilherme Pereira
Santo Tomas - Theory Can Only Take You So Far	1st	Opening Opposition	View Ballot	Ayafa TonyeⒸ , Guilherme Pereira
HH A&amp;M	4th	Closing Government	View Ballot	Ayafa TonyeⒸ , Guilherme Pereira
Berlin Utilitarian arguments disguised as	2nd	Closing Opposition	View Ballot	Ayafa TonyeⒸ , Guilherme Pereira
Swing 8	2nd	Opening Government	View Ballot	Aniket ChakravortyⒸ , Angus McGregor , Sudiksha Aggarwal
We should be sleeping	1st	Opening Opposition	View Ballot	Aniket ChakravortyⒸ , Angus McGregor , Sudiksha Aggarwal
Budapest Buda	4th	Closing Government	View Ballot	Aniket ChakravortyⒸ , Angus McGregor , Sudiksha Aggarwal
IIT Bombay Why debate now when we can debate	3rd	Closing Opposition	View Ballot	Aniket ChakravortyⒸ , Angus McGregor , Sudiksha Aggarwal
TCD Hist PW	2nd	Opening Government	View Ballot	Diego DuarteⒸ , Rahul , Luka GojkovicⓉ
Triplespeaking here and two other	3rd	Opening Opposition	View Ballot	Diego DuarteⒸ , Rahul , Luka GojkovicⓉ
bantal princess	4th	Closing Government	View Ballot	Diego DuarteⒸ , Rahul , Luka GojkovicⓉ
McGill RY	1st	Closing Opposition	View Ballot	Diego DuarteⒸ , Rahul , Luka GojkovicⓉ
pizz chillers	3rd	Opening Government	View Ballot	Diggory WaddleⒸ , Adya Sharma , Mishaal Said
1v1 me Minecraft Bedwars	2nd	Opening Opposition	View Ballot	Diggory WaddleⒸ , Adya Sharma , Mishaal Said
UCD L&amp;H w(A)it until u meet our biggest fa	4th	Closing Government	View Ballot	Diggory WaddleⒸ , Adya Sharma , Mishaal Said
Chicago/Hopkins GW	1st	Closing Opposition	View Ballot	Diggory WaddleⒸ , Adya Sharma , Mishaal Said
NSUT Bing Chilling	4th	Opening Government	View Ballot	Chinmaya MohanⒸ , Carlo Giron
DTU masti nahi rukni chahiy	2nd	Opening Opposition	View Ballot	Chinmaya MohanⒸ , Carlo Giron
GUU B	1st	Closing Government	View Ballot	Chinmaya MohanⒸ , Carlo Giron
