team	result	side	ballot	adjudicators
1v1 me Minecraft Bedwars	3rd	Opening Government	View Ballot	Alek SelvelievⒸ , Mohanish Tatiya , Sudiksha Aggarwal
pizz chillers	1st	Opening Opposition	View Ballot	Alek SelvelievⒸ , Mohanish Tatiya , Sudiksha Aggarwal
UW BlackPink	4th	Closing Government	View Ballot	Alek SelvelievⒸ , Mohanish Tatiya , Sudiksha Aggarwal
UCD L&amp;H w(A)it until u meet our biggest fa	2nd	Closing Opposition	View Ballot	Alek SelvelievⒸ , Mohanish Tatiya , Sudiksha Aggarwal
Weizmann DS	2nd	Opening Government	View Ballot	Shireen AliⒸ , Aymaan Sheikh , Nevo Werner-ReissⓉ
IUB A	3rd	Opening Opposition	View Ballot	Shireen AliⒸ , Aymaan Sheikh , Nevo Werner-ReissⓉ
UNWE Finally getting some empathy for t	1st	Closing Government	View Ballot	Shireen AliⒸ , Aymaan Sheikh , Nevo Werner-ReissⓉ
NSUT Quick Wits	4th	Closing Opposition	View Ballot	Shireen AliⒸ , Aymaan Sheikh , Nevo Werner-ReissⓉ
UCL A or: HILTSWALMP	3rd	Opening Government	View Ballot	Jane MentzingerⒸ , Simon Luo , Yashowardhan RaiⓉ
Brown ฅ^•ﻌ•^ฅ	2nd	Opening Opposition	View Ballot	Jane MentzingerⒸ , Simon Luo , Yashowardhan RaiⓉ
KNUST Dorvlo and Opoku: KNUST A	4th	Closing Government	View Ballot	Jane MentzingerⒸ , Simon Luo , Yashowardhan RaiⓉ
listen faster	1st	Closing Opposition	View Ballot	Jane MentzingerⒸ , Simon Luo , Yashowardhan RaiⓉ
PUCP EN	3rd	Opening Government	View Ballot	Daan SpacklerⒸ , Aaron Wang , Jenny Li , Owen CruickshankⓉ
Budapest Buda	4th	Opening Opposition	View Ballot	Daan SpacklerⒸ , Aaron Wang , Jenny Li , Owen CruickshankⓉ
Warsaw Grzala	1st	Closing Government	View Ballot	Daan SpacklerⒸ , Aaron Wang , Jenny Li , Owen CruickshankⓉ
Hegelian Finance Bros	2nd	Closing Opposition	View Ballot	Daan SpacklerⒸ , Aaron Wang , Jenny Li , Owen CruickshankⓉ
Belgrade C(popuni ovo)	2nd	Opening Government	View Ballot	Alexander FraserⒸ , Inbal Geva , Yuichi Masaoka , Ananya DasⓉ
FTU A	4th	Opening Opposition	View Ballot	Alexander FraserⒸ , Inbal Geva , Yuichi Masaoka , Ananya DasⓉ
UWODS Western D: Half Sleep-Deprived	3rd	Closing Government	View Ballot	Alexander FraserⒸ , Inbal Geva , Yuichi Masaoka , Ananya DasⓉ
HUJI Who	1st	Closing Opposition	View Ballot	Alexander FraserⒸ , Inbal Geva , Yuichi Masaoka , Ananya DasⓉ
USDU Try-hard Troopers	4th	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Auguste McNally , Lwandle Ntshangase , Ethan JiangⓉ
NU Phone Who Dis	2nd	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Auguste McNally , Lwandle Ntshangase , Ethan JiangⓉ
St Andrews Musk building infrastructure in (A	1st	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Auguste McNally , Lwandle Ntshangase , Ethan JiangⓉ
TAU B	3rd	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Auguste McNally , Lwandle Ntshangase , Ethan JiangⓉ
KBS Ukraine A	2nd	Opening Opposition	View Ballot	Lucy McManusⒸ , Paula Breyer , Saanvi AgarwalⓉ
EUDU MS	1st	Closing Government	View Ballot	Lucy McManusⒸ , Paula Breyer , Saanvi AgarwalⓉ
cooked so hard we set Cali on fire	3rd	Closing Opposition	View Ballot	Lucy McManusⒸ , Paula Breyer , Saanvi AgarwalⓉ
Imperial A	2nd	Opening Opposition	View Ballot	Meg KandarpaⒸ , Kelvin Kwabena Asamoah Damptey , Mateo Acosta Fernandez , Rohan AllikerⓉ
NSUT Wonka&#x27;s Loompas	3rd	Closing Government	View Ballot	Meg KandarpaⒸ , Kelvin Kwabena Asamoah Damptey , Mateo Acosta Fernandez , Rohan AllikerⓉ
Uniandes OV	1st	Closing Opposition	View Ballot	Meg KandarpaⒸ , Kelvin Kwabena Asamoah Damptey , Mateo Acosta Fernandez , Rohan AllikerⓉ
NTU QWERTYU	4th	Opening Government	View Ballot	Lucy McManusⒸ , Paula Breyer , Saanvi AgarwalⓉ
Belgrade A	1st	Opening Government	View Ballot	Kayla PowersⒸ , Gazi Mahtab , Keshav R
IIT Bombay Why debate now when we can debate	4th	Opening Opposition	View Ballot	Kayla PowersⒸ , Gazi Mahtab , Keshav R
NU S	3rd	Closing Government	View Ballot	Kayla PowersⒸ , Gazi Mahtab , Keshav R
HUJI D	2nd	Closing Opposition	View Ballot	Kayla PowersⒸ , Gazi Mahtab , Keshav R
KCL if we were in 1945, Kamila would’v	3rd	Opening Government	View Ballot	Chinmaya MohanⒸ , Eli Ferrell , Kevin Lee
DTU Baawan Gaj ka System	2nd	Opening Opposition	View Ballot	Chinmaya MohanⒸ , Eli Ferrell , Kevin Lee
Stanford BC	1st	Closing Government	View Ballot	Chinmaya MohanⒸ , Eli Ferrell , Kevin Lee
GNLU hoMANs	4th	Closing Opposition	View Ballot	Chinmaya MohanⒸ , Eli Ferrell , Kevin Lee
HUJI B	2nd	Opening Government	View Ballot	Flora BaekⒸ , Atyia Al-Hammud , Mostafizur Rahman Fahim
GLC Mumbai 1	3rd	Opening Opposition	View Ballot	Flora BaekⒸ , Atyia Al-Hammud , Mostafizur Rahman Fahim
Triplespeaking here and two other	1st	Closing Government	View Ballot	Flora BaekⒸ , Atyia Al-Hammud , Mostafizur Rahman Fahim
CU B	4th	Closing Opposition	View Ballot	Flora BaekⒸ , Atyia Al-Hammud , Mostafizur Rahman Fahim
chat gpt name recommendation: Disc	2nd	Opening Government	View Ballot	Revan Lim TJⒸ , Kaustubh Jain , Shivani Mishra , Jade FreemanⓉ
KNUST AIMS	1st	Closing Opposition	View Ballot	Revan Lim TJⒸ , Kaustubh Jain , Shivani Mishra , Jade FreemanⓉ
Belgrade D	4th	Opening Government	View Ballot	Meg KandarpaⒸ , Kelvin Kwabena Asamoah Damptey , Mateo Acosta Fernandez , Rohan AllikerⓉ
HUJI S&amp;I	3rd	Opening Opposition	View Ballot	Revan Lim TJⒸ , Kaustubh Jain , Shivani Mishra , Jade FreemanⓉ
BUTEX A	4th	Closing Government	View Ballot	Revan Lim TJⒸ , Kaustubh Jain , Shivani Mishra , Jade FreemanⓉ
kk bose	2nd	Opening Government	View Ballot	Alexandra McCreadieⒸ , Rahul Datta
NSUT No lucks given	4th	Opening Opposition	View Ballot	Alexandra McCreadieⒸ , Rahul Datta
Rosario Gustavo Bolivar no será alcalde de	3rd	Closing Government	View Ballot	Alexandra McCreadieⒸ , Rahul Datta
DTU Wait….this isn’t Nepal??	1st	Closing Opposition	View Ballot	Alexandra McCreadieⒸ , Rahul Datta
Cambridge AM	4th	Opening Government	View Ballot	Nikola MichaylovⒸ , Jantzen Eros
For Business	1st	Opening Opposition	View Ballot	Nikola MichaylovⒸ , Jantzen Eros
McGill M.D. U?	2nd	Closing Government	View Ballot	Nikola MichaylovⒸ , Jantzen Eros
TCD Hist We&#x27;re Kenough	3rd	Closing Opposition	View Ballot	Nikola MichaylovⒸ , Jantzen Eros
VIT DT Marketing Strategy	3rd	Opening Government	View Ballot	Shaun LeeⒸ , Andjela Milojevic , Pratham Dikshit , Khaled Mahmud OnikⓉ
HH A&amp;M	4th	Opening Opposition	View Ballot	Shaun LeeⒸ , Andjela Milojevic , Pratham Dikshit , Khaled Mahmud OnikⓉ
McGill RY	1st	Closing Government	View Ballot	Shaun LeeⒸ , Andjela Milojevic , Pratham Dikshit , Khaled Mahmud OnikⓉ
Sydney TBC	2nd	Closing Opposition	View Ballot	Shaun LeeⒸ , Andjela Milojevic , Pratham Dikshit , Khaled Mahmud OnikⓉ
HH Take a shot for every “so true”	4th	Opening Government	View Ballot	Paolo TainoⒸ , Oisín Browne , Ojas
bantal princess	2nd	Opening Opposition	View Ballot	Paolo TainoⒸ , Oisín Browne , Ojas
Bates pink crocks no socks	3rd	Closing Government	View Ballot	Paolo TainoⒸ , Oisín Browne , Ojas
TCD Hist European debating was too hard so	1st	Closing Opposition	View Ballot	Paolo TainoⒸ , Oisín Browne , Ojas
HH Googlolplex	4th	Closing Opposition	View Ballot	Dino WildiⒸ , Ametu Prosper , Lance Kasel Lasam , Alexander HoroyskiⓉ
XU-AdC Kumakain ka kasi ng kalapati	4th	Opening Government	View Ballot	Ayal MorⒸ , Sehaj Reen , Oliver ChowⓉ
Chicago YS	1st	Opening Opposition	View Ballot	Ayal MorⒸ , Sehaj Reen , Oliver ChowⓉ
Technion A	2nd	Opening Opposition	View Ballot	Zach Godley-McAvoyⒸ , Ananya Krishna , William Zhang
DTU masti nahi rukni chahiy	3rd	Closing Government	View Ballot	Zach Godley-McAvoyⒸ , Ananya Krishna , William Zhang
LSE C	1st	Closing Opposition	View Ballot	Zach Godley-McAvoyⒸ , Ananya Krishna , William Zhang
SLS Pune Where is my teammate? (Going thru	1st	Opening Opposition	View Ballot	Diego DuarteⒸ , Brian Kam , Nana Yaw Ofosu-Ababio , Aleina KonsamⓉ
NSUT Bing Chilling	4th	Closing Government	View Ballot	Diego DuarteⒸ , Brian Kam , Nana Yaw Ofosu-Ababio , Aleina KonsamⓉ
